moral_values	honesty
moral_values	empathy
moral_values	sharing
moral_values	gratitude
moral_values	respect
moral_values	cooperation
moral_values	not lying
moral_values	not being greedy
moral_values	hard work
moral_values	compassion
moral_values	kindness
moral_values	patience
moral_values	humility
moral_values	never hurting anyone
moral_values	not being selfish
specific_settings	forest
specific_settings	zoo
specific_settings	school
specific_settings	playground
specific_settings	farm
specific_settings	near a river
specific_settings	ocean
specific_settings	place of worship
specific_settings	library
specific_settings	space
specific_characters	birds
specific_characters	farm animals
specific_characters	pets
specific_characters	wild animals
specific_characters	friends
specific_characters	insects
specific_characters	fishes
specific_characters	robots
specific_characters	magicians
specific_characters	mythological figures